,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
249,1.0081165288730696,0.5867752006530665,0.582825896733043,1.0885124847967012e-18
250,1.0066572757951353,0.6622929697041502,0.6583408212481621,2.4515055049848868e-17
251,1.0051291548352685,0.741345600966957,0.7374487093315311,0.0
252,1.0035458227939085,0.8232314152028767,0.8194377613764064,1.0577535156643659e-16
253,1.0019218095638798,0.9072069222183411,0.9035476236689435,1.0384512822697139e-18
254,1.0002748270525708,0.9923701315027599,0.9888471043049482,5.192063202107215e-17
255,0.9986255584147102,1.0776695151215698,1.0742470247047315,7.735635100058557e-18
256,0.9969915658361831,1.162217785848151,1.1588169858557198,2.92009087784171e-17
257,0.9953920410854604,1.2450514087433935,1.2415341746602617,1.9778852896686854e-16
258,0.9938458332795187,1.3252285577205816,1.3213895335980446,5.396412851518976e-17
259,0.9923663452017372,1.4020842008208705,1.3976609065481425,3.437004422402048e-17
260,0.9909662602438342,1.4749945700791787,1.469659330432801,6.1813295346854805e-18
261,0.9896623740420507,1.5431390431437595,1.536467079252784,1.6499664091384797e-17
262,0.9884601917678688,1.606260208491557,1.5977717792828685,2.0335855317478903e-17
263,0.9873626161391363,1.6642310435585461,1.6534000217896467,2.795665374229717e-17
264,0.9863722124278422,1.7169429375778162,1.703194911889308,1.0738424574487606e-16
265,0.9854979186326316,1.7639809881076478,1.746646269163771,1.517500549414682e-16
266,0.9847286058211229,1.805907787057,1.7843433462055724,7.0106852594001e-17
267,0.9840593438755408,1.8429803722403326,1.8165393723899614,1.1137625206798753e-16
268,0.9834854857249496,1.8754401117164055,1.8434739515000913,2.4607035302871587e-18
269,0.98300349611463,1.90347311675877,1.8653268711258184,0.0
270,0.9825982226166383,1.9278161960862155,1.8829295988405248,5.64341424824617e-18
271,0.9822608769456007,1.9488941790391696,1.8967668928399537,7.539985781382276e-17
272,0.9819843103689101,1.9670473469304144,1.9072383656361833,1.7569951908651247e-16
273,0.9817592401657202,1.982709705233813,1.9148707733629455,3.4896796211270284e-17
274,0.9815743653202524,1.996406154590828,1.920308870511831,7.201585474283455e-17
275,0.9814220502941292,2.008481592223111,1.9239980380833195,1.604328509810401e-16
276,0.981296365584615,2.01918927830273,1.9262987194384449,1.7207271699061302e-16
277,0.9811897803195065,2.0288591336865376,1.9276604389933507,8.960126149926618e-17
278,0.9810963756146119,2.037747124183123,1.9284398354533299,0.0
279,0.9810117731351103,2.0460334522331194,1.928909864031765,0.0
280,0.9809323525682364,2.0538458207248396,1.9293175242115124,0.0
281,0.980854503908832,2.0613423570120566,1.9298783241726607,0.0
282,0.9807758000310748,2.0686219556188785,1.930744576913715,0.0
283,0.9806942342921403,2.0757638641280685,1.9320447223842305,0.0
284,0.9806076669550319,2.0828419481777547,1.9339263577252463,5.545183024156153e-17
285,0.9805150899667917,2.0899258327004406,1.9364241914854283,0.0
286,0.9804154594529989,2.0970723035400347,1.9395894788233548,4.653798375350864e-18
287,0.9803076550739397,2.104341401303957,1.943478134292113,2.2231879705067548e-18
288,0.9801906530361748,2.111797685489292,1.9481315610154306,0.0
289,0.9800645605982815,2.1194780908009725,1.953501723025677,3.966142419597869e-17
290,0.9799292051538887,2.1274214037151578,1.9595676986061878,2.271796226607367e-17
291,0.979784216358114,2.1356738566331246,1.966321586050891,0.0
292,0.9796301974462323,2.1442487415620453,1.9736876585017178,0.0
293,0.9794683823531299,2.1531279866973634,1.9815562755025025,8.307644410372199e-17
294,0.9792999766794542,2.1622874126919327,1.9898268367333343,1.0183908888549361e-16
295,0.979126364389695,2.171693441266799,1.9983896801485603,1.8532370659025008e-17
296,0.9789501289070968,2.1812507124229152,2.0070727814413964,2.4150657419766304e-17
297,0.9787738079462065,2.1908560166285653,2.015716696687859,0.0
298,0.9786001233617796,2.200390643825693,2.0241584239789274,0.0
299,0.9784328692382354,2.2096819917471864,2.032177877844278,0.0
300,0.978274974017014,2.2185780317227435,2.039623993265132,0.0
301,0.9781295310410242,2.226916320371155,2.046339052631674,0.0
302,0.9779999063903417,2.234513784431837,2.0521577399166397,2.3889501407999973e-17
303,0.9778900329640923,2.241148328752807,2.056895095212448,1.667963156417158e-17
304,0.9778010882863847,2.246726420571839,2.0605227775361383,0.0
305,0.9777347959620264,2.2511261641608282,2.062984289518256,8.721699503664723e-17
306,0.977693328258744,2.2541942482898425,2.0642081126789718,0.0
307,0.9776773208719342,2.255850229652577,2.0642088958510523,0.0
308,0.9776852424023948,2.2561337666466486,2.063105480454297,2.4821498081916756e-17
309,0.9777160825340047,2.2550566130259497,2.0609906804533824,0.0
310,0.9777694242517905,2.252586546646579,2.0579398790419066,0.0
311,0.9778420465071604,2.2488601966866937,2.0541498255709922,2.261322051260824e-17
312,0.9779307675551823,2.2440223424736647,2.049805051313781,1.452437300512633e-16
313,0.9780328081785035,2.2381978948145993,2.0450682944591176,1.8604018993880568e-17
314,0.9781459422301768,2.2314645204360994,2.040092294489422,1.755196803117634e-16
